,host_country,game_year,event,medal_type,athlete_country
109,japan,2020,boxing - women's light (57-60kg),bronze,thailand
110,japan,2020,boxing - women's welter (64-69kg),silver,china
111,japan,2020,boxing - women's welter (64-69kg),gold,turkey
112,japan,2020,boxing - women's welter (64-69kg),bronze,usa
113,japan,2020,boxing - women's welter (64-69kg),bronze,india
114,japan,2020,boxing - women's fly (48-51kg),bronze,chinese taipei
115,japan,2020,boxing - women's fly (48-51kg),gold,bulgaria
116,japan,2020,boxing - women's fly (48-51kg),silver,turkey
117,japan,2020,boxing - women's fly (48-51kg),bronze,japan
118,japan,2020,boxing - men's fly (48-52kg),silver,philippines
119,japan,2020,boxing - men's fly (48-52kg),bronze,japan
120,japan,2020,boxing - men's fly (48-52kg),bronze,kazakhstan
121,japan,2020,boxing - men's fly (48-52kg),gold,great britain
122,japan,2020,boxing - women's feather (54-57kg),bronze,italy
123,japan,2020,boxing - women's feather (54-57kg),gold,japan
124,japan,2020,boxing - women's feather (54-57kg),silver,philippines
125,japan,2020,boxing - women's feather (54-57kg),bronze,great britain
126,japan,2020,boxing - men's light (57-63kg),silver,usa
127,japan,2020,boxing - men's light (57-63kg),bronze,australia
128,japan,2020,boxing - men's light (57-63kg),bronze,armenia
129,japan,2020,boxing - men's light (57-63kg),gold,cuba
130,japan,2020,cycling bmx racing - men,gold,netherlands
131,japan,2020,cycling bmx racing - men,silver,great britain
132,japan,2020,cycling bmx racing - men,bronze,colombia
133,japan,2020,cycling bmx racing - women,gold,great britain
134,japan,2020,cycling bmx racing - women,silver,colombia
135,japan,2020,cycling bmx racing - women,bronze,netherlands
136,japan,2020,triathlon - women's individual,silver,great britain
137,japan,2020,triathlon - women's individual,gold,bermuda
138,japan,2020,triathlon - women's individual,bronze,usa
139,japan,2020,triathlon - men's individual,silver,great britain
140,japan,2020,triathlon - men's individual,bronze,new zealand
141,japan,2020,triathlon - men's individual,gold,norway
142,japan,2020,surfing - women,silver,south africa
143,japan,2020,surfing - women,gold,usa
144,japan,2020,surfing - women,bronze,japan
145,japan,2020,surfing - men,gold,brazil
146,japan,2020,surfing - men,bronze,australia
147,japan,2020,surfing - men,silver,japan
148,japan,2020,table tennis - men's singles,silver,china
149,japan,2020,table tennis - men's singles,bronze,germany
150,japan,2020,table tennis - men's singles,gold,china
151,japan,2020,table tennis - women's singles,silver,china
152,japan,2020,table tennis - women's singles,gold,china
153,japan,2020,table tennis - women's singles,bronze,japan
154,japan,2020,canoe slalom - men's kayak,bronze,germany
155,japan,2020,canoe slalom - men's kayak,gold,czechia
156,japan,2020,canoe slalom - men's kayak,silver,slovakia
157,japan,2020,canoe slalom - women's canoe,gold,australia
158,japan,2020,canoe slalom - women's canoe,bronze,germany
159,japan,2020,canoe slalom - women's canoe,silver,great britain
160,japan,2020,canoe slalom - women's kayak,gold,germany
161,japan,2020,canoe slalom - women's kayak,bronze,australia
162,japan,2020,canoe slalom - women's kayak,silver,spain
163,japan,2020,canoe slalom - men's canoe,bronze,germany
164,japan,2020,canoe slalom - men's canoe,silver,czechia
165,japan,2020,canoe slalom - men's canoe,gold,slovenia
166,japan,2020,marathon swimming - women's 10km,silver,netherlands
167,japan,2020,marathon swimming - women's 10km,gold,brazil
168,japan,2020,marathon swimming - women's 10km,bronze,australia
169,japan,2020,marathon swimming - men's 10km,silver,hungary
170,japan,2020,marathon swimming - men's 10km,bronze,italy
171,japan,2020,marathon swimming - men's 10km,gold,germany
172,japan,2020,trampoline gymnastics - men,silver,china
173,japan,2020,trampoline gymnastics - men,gold,belarus
174,japan,2020,trampoline gymnastics - men,bronze,new zealand
175,japan,2020,trampoline gymnastics - women,bronze,great britain
176,japan,2020,trampoline gymnastics - women,gold,china
177,japan,2020,trampoline gymnastics - women,silver,china
178,japan,2020,taekwondo - men -68kg,gold,uzbekistan
179,japan,2020,taekwondo - men -68kg,silver,great britain
180,japan,2020,taekwondo - men -68kg,bronze,turkey
181,japan,2020,taekwondo - men -68kg,bronze,china
182,japan,2020,taekwondo - men -80kg,bronze,egypt
183,japan,2020,taekwondo - men -80kg,gold,roc
184,japan,2020,taekwondo - men -80kg,silver,jordan
185,japan,2020,taekwondo - men -80kg,bronze,croatia
186,japan,2020,taekwondo - men +80kg,bronze,south korea
187,japan,2020,taekwondo - men +80kg,gold,roc
188,japan,2020,taekwondo - men +80kg,silver,north macedonia
189,japan,2020,taekwondo - men +80kg,bronze,cuba
190,japan,2020,taekwondo - women +67kg,gold,serbia
191,japan,2020,taekwondo - women +67kg,silver,south korea
192,japan,2020,taekwondo - women +67kg,bronze,france
193,japan,2020,taekwondo - women +67kg,bronze,great britain
194,japan,2020,taekwondo - women -67kg,gold,croatia
195,japan,2020,taekwondo - women -67kg,silver,great britain
196,japan,2020,taekwondo - women -67kg,bronze,egypt
197,japan,2020,taekwondo - women -67kg,bronze,côte d'ivoire
198,japan,2020,taekwondo - women -57kg,bronze,chinese taipei
199,japan,2020,taekwondo - women -57kg,gold,usa
