,medal_type,participant_type,athlete_country,host_country,game_year
4140,bronze,Athlete,barbados,australia,2000
4141,gold,Athlete,lithuania,australia,2000
4142,silver,Athlete,germany,australia,2000
4143,bronze,Athlete,south africa,australia,2000
4144,gold,Athlete,algeria,australia,2000
4145,silver,Athlete,romania,australia,2000
4146,bronze,Athlete,romania,australia,2000
4147,gold,Athlete,great britain,australia,2000
4148,silver,Athlete,russian federation,australia,2000
4149,bronze,Athlete,belarus,australia,2000
4150,gold,Athlete,poland,australia,2000
4151,silver,Athlete,mexico,australia,2000
4152,bronze,Athlete,russian federation,australia,2000
4153,gold,Athlete,estonia,australia,2000
4154,silver,Athlete,czech republic,australia,2000
4155,bronze,Athlete,united states of america,australia,2000
4156,gold,Athlete,russian federation,australia,2000
4157,silver,Athlete,cuba,australia,2000
4158,bronze,Athlete,algeria,australia,2000
4159,gold,Athlete,japan,australia,2000
4160,silver,Athlete,romania,australia,2000
4161,bronze,Athlete,kenya,australia,2000
4162,gold,Athlete,ethiopia,australia,2000
4163,silver,Athlete,algeria,australia,2000
4164,bronze,Athlete,morocco,australia,2000
4165,gold,Athlete,kazakhstan,australia,2000
4166,silver,Athlete,nigeria,australia,2000
4167,bronze,Athlete,united states of america,australia,2000
4168,gold,Athlete,poland,australia,2000
4169,silver,Athlete,latvia,australia,2000
4170,bronze,Athlete,mexico,australia,2000
4171,gold,Athlete,belarus,australia,2000
4172,silver,Athlete,greece,australia,2000
4173,bronze,Athlete,belarus,australia,2000
4174,gold,Athlete,people's republic of china,australia,2000
4175,silver,Athlete,norway,australia,2000
4176,bronze,Athlete,spain,australia,2000
4177,gold,Athlete,france,australia,2000
4178,silver,Athlete,spain,australia,2000
4179,bronze,Athlete,democratic people's republic of korea,australia,2000
4180,bronze,Athlete,cuba,australia,2000
4181,gold,Athlete,cuba,australia,2000
4182,silver,Athlete,ukraine,australia,2000
4183,bronze,Athlete,russian federation,australia,2000
4184,bronze,Athlete,mexico,australia,2000
4185,gold,Athlete,russian federation,australia,2000
4186,silver,Athlete,ukraine,australia,2000
4187,bronze,Athlete,romania,australia,2000
4188,bronze,Athlete,republic of moldova,australia,2000
4189,gold,Athlete,russian federation,australia,2000
4190,silver,Athlete,czech republic,australia,2000
4191,bronze,Athlete,ukraine,australia,2000
4192,bronze,Athlete,uzbekistan,australia,2000
4193,gold,Athlete,cuba,australia,2000
4194,silver,Athlete,russian federation,australia,2000
4195,bronze,Athlete,united states of america,australia,2000
4196,bronze,Athlete,ukraine,australia,2000
4197,gold,Athlete,kazakhstan,australia,2000
4198,silver,Athlete,united states of america,australia,2000
4199,bronze,Athlete,russian federation,australia,2000
4200,bronze,Athlete,morocco,australia,2000
4201,gold,Athlete,great britain,australia,2000
4202,silver,Athlete,kazakhstan,australia,2000
4203,bronze,Athlete,italy,australia,2000
4204,bronze,Athlete,uzbekistan,australia,2000
4205,gold,Athlete,cuba,australia,2000
4206,silver,Athlete,russian federation,australia,2000
4207,bronze,Athlete,azerbaijan,australia,2000
4208,bronze,Athlete,hungary,australia,2000
4209,gold,Athlete,kazakhstan,australia,2000
4210,silver,Athlete,romania,australia,2000
4211,bronze,Athlete,united states of america,australia,2000
4212,bronze,Athlete,thailand,australia,2000
4213,gold,Athlete,cuba,australia,2000
4214,silver,Athlete,russian federation,australia,2000
4215,bronze,Athlete,germany,australia,2000
4216,bronze,Athlete,georgia,australia,2000
4217,gold,Athlete,uzbekistan,australia,2000
4218,silver,Athlete,united states of america,australia,2000
4219,bronze,Athlete,cuba,australia,2000
4220,bronze,Athlete,algeria,australia,2000
4221,gold,Athlete,thailand,australia,2000
4222,silver,Athlete,kazakhstan,australia,2000
4223,bronze,Athlete,france,australia,2000
4224,bronze,Athlete,ukraine,australia,2000
4225,gold,Athlete,sweden,australia,2000
4226,silver,Athlete,australia,australia,2000
4227,bronze,Athlete,australia,australia,2000
4228,gold,Athlete,netherlands,australia,2000
4229,silver,Athlete,sweden,australia,2000
4230,bronze,Athlete,united states of america,australia,2000
4231,bronze,Athlete,united states of america,australia,2000
4232,gold,Athlete,australia,australia,2000
4233,silver,Athlete,italy,australia,2000
4234,bronze,Athlete,united states of america,australia,2000
4235,gold,Athlete,united states of america,australia,2000
4236,silver,Athlete,united states of america,australia,2000
4237,bronze,Athlete,canada,australia,2000
4238,gold,Athlete,united states of america,australia,2000
4239,silver,Athlete,ukraine,australia,2000
4240,bronze,Athlete,united states of america,australia,2000
4241,gold,Athlete,romania,australia,2000
4242,silver,Athlete,france,australia,2000
4243,bronze,Athlete,japan,australia,2000
4244,gold,Athlete,united states of america,australia,2000
4245,silver,Athlete,united states of america,australia,2000
4246,bronze,Athlete,costa rica,australia,2000
4247,gold,Athlete,united states of america,australia,2000
4248,silver,Athlete,australia,australia,2000
4249,bronze,Athlete,australia,australia,2000
4250,gold,Athlete,hungary,australia,2000
4251,silver,Athlete,united states of america,australia,2000
4252,bronze,Athlete,united states of america,australia,2000
4253,gold,Athlete,united states of america,australia,2000
4254,silver,Athlete,united states of america,australia,2000
4255,bronze,Athlete,australia,australia,2000
4256,gold,Athlete,ukraine,australia,2000
4257,silver,Athlete,japan,australia,2000
4258,bronze,Athlete,romania,australia,2000
4259,gold,Athlete,romania,australia,2000
4260,silver,Athlete,japan,australia,2000
4261,bronze,Athlete,spain,australia,2000
4262,gold,Athlete,netherlands,australia,2000
4263,silver,Athlete,russian federation,australia,2000
4264,bronze,Athlete,united states of america,australia,2000
4265,gold,Athlete,netherlands,australia,2000
4266,silver,Athlete,sweden,australia,2000
4267,bronze,Athlete,united states of america,australia,2000
4268,gold,Athlete,united states of america,australia,2000
4269,silver,Athlete,australia,australia,2000
4270,bronze,Athlete,south africa,australia,2000
4271,gold,Athlete,ukraine,australia,2000
4272,silver,Athlete,romania,australia,2000
4273,bronze,Athlete,united states of america,australia,2000
4274,gold,Athlete,united states of america,australia,2000
4275,gold,Athlete,united states of america,australia,2000
4276,bronze,Athlete,netherlands,australia,2000
4277,gold,Athlete,australia,australia,2000
4278,silver,Athlete,slovakia,australia,2000
4279,bronze,Athlete,costa rica,australia,2000
4280,gold,Athlete,netherlands,australia,2000
4281,silver,Athlete,australia,australia,2000
4282,bronze,Athlete,italy,australia,2000
4283,gold,Athlete,united states of america,australia,2000
4284,silver,Athlete,ukraine,australia,2000
4285,bronze,Athlete,australia,australia,2000
4286,gold,Athlete,italy,australia,2000
4287,silver,Athlete,united states of america,australia,2000
4288,bronze,Athlete,russian federation,australia,2000
4289,gold,Athlete,italy,australia,2000
4290,silver,Athlete,united states of america,australia,2000
4291,bronze,Athlete,united states of america,australia,2000
4292,gold,Athlete,italy,australia,2000
4293,silver,Athlete,south africa,australia,2000
4294,bronze,Athlete,italy,australia,2000
4295,gold,Athlete,australia,australia,2000
4296,silver,Athlete,australia,australia,2000
4297,bronze,Athlete,united states of america,australia,2000
4298,gold,Athlete,united states of america,australia,2000
4299,silver,Athlete,australia,australia,2000
4300,bronze,Athlete,germany,australia,2000
4301,gold,Athlete,netherlands,australia,2000
4302,silver,Athlete,slovakia,australia,2000
4303,bronze,Athlete,united states of america,australia,2000
4304,gold,Athlete,russian federation,australia,2000
4305,silver,Athlete,germany,australia,2000
4306,bronze,Athlete,france,australia,2000
4307,gold,Athlete,united states of america,australia,2000
4308,silver,Athlete,russian federation,australia,2000
4309,bronze,Athlete,united states of america,australia,2000
4310,gold,Athlete,united states of america,australia,2000
4311,silver,Athlete,republic of korea,australia,2000
4312,bronze,Athlete,islamic republic of iran,australia,2000
4313,gold,Athlete,people's republic of china,australia,2000
4314,silver,Athlete,russian federation,australia,2000
4315,bronze,Athlete,canada,australia,2000
4316,gold,Athlete,republic of korea,australia,2000
4317,silver,Athlete,australia,australia,2000
4318,bronze,Athlete,france,australia,2000
4319,gold,Athlete,greece,australia,2000
4320,silver,Athlete,spain,australia,2000
4321,bronze,Athlete,chinese taipei,australia,2000
4322,gold,Athlete,cuba,australia,2000
4323,silver,Athlete,germany,australia,2000
4324,bronze,Athlete,mexico,australia,2000
4325,gold,Athlete,republic of korea,australia,2000
4326,silver,Athlete,vietnam,australia,2000
4327,bronze,Athlete,turkey,australia,2000
4328,gold,Athlete,republic of korea,australia,2000
4329,silver,Athlete,norway,australia,2000
4330,bronze,Athlete,japan,australia,2000
4331,gold,Athlete,australia,australia,2000
4332,silver,Athlete,cuba,australia,2000
4333,bronze,Athlete,chinese taipei,australia,2000
4334,gold,Athlete,japan,united states,1996
4335,silver,Athlete,republic of korea,united states,1996
4336,bronze,Athlete,united states of america,united states,1996
4337,bronze,Athlete,france,united states,1996
4338,gold,Athlete,belgium,united states,1996
4339,silver,Athlete,japan,united states,1996
4340,bronze,Athlete,italy,united states,1996
4341,bronze,Athlete,cuba,united states,1996
4342,gold,Athlete,france,united states,1996
4343,silver,Athlete,republic of korea,united states,1996
4344,bronze,Athlete,japan,united states,1996
4345,bronze,Athlete,cuba,united states,1996
4346,gold,Athlete,france,united states,1996
4347,silver,Athlete,spain,united states,1996
4348,bronze,Athlete,germany,united states,1996
4349,bronze,Athlete,belgium,united states,1996
4350,gold,Athlete,poland,united states,1996
4351,silver,Athlete,republic of korea,united states,1996
4352,bronze,Athlete,brazil,united states,1996
4353,bronze,Athlete,france,united states,1996
4354,gold,Athlete,japan,united states,1996
4355,silver,Athlete,belgium,united states,1996
4356,bronze,Athlete,netherlands,united states,1996
4357,bronze,Athlete,republic of korea,united states,1996
4358,gold,Athlete,japan,united states,1996
4359,silver,Athlete,italy,united states,1996
4360,bronze,Athlete,germany,united states,1996
4361,bronze,Athlete,mongolia,united states,1996
4362,gold,Athlete,republic of korea,united states,1996
4363,silver,Athlete,uzbekistan,united states,1996
4364,bronze,Athlete,netherlands,united states,1996
4365,bronze,Athlete,germany,united states,1996
4366,gold,Athlete,republic of korea,united states,1996
4367,silver,Athlete,poland,united states,1996
4368,bronze,Athlete,people's republic of china,united states,1996
4369,bronze,Athlete,netherlands,united states,1996
4370,gold,Athlete,people's republic of china,united states,1996
4371,silver,Athlete,cuba,united states,1996
4372,bronze,Athlete,france,united states,1996
4373,bronze,Athlete,germany,united states,1996
4374,gold,Athlete,germany,united states,1996
4375,silver,Athlete,japan,united states,1996
4376,bronze,Athlete,brazil,united states,1996
4377,bronze,Athlete,cuba,united states,1996
4378,gold,Athlete,cuba,united states,1996
4379,silver,Athlete,republic of korea,united states,1996
4380,bronze,Athlete,spain,united states,1996
4381,bronze,Athlete,belgium,united states,1996
4382,gold,Athlete,france,united states,1996
4383,silver,Athlete,japan,united states,1996
4384,bronze,Athlete,republic of korea,united states,1996
4385,bronze,Athlete,georgia,united states,1996
4386,gold,Athlete,democratic people's republic of korea,united states,1996
4387,silver,Athlete,japan,united states,1996
4388,bronze,Athlete,spain,united states,1996
4389,bronze,Athlete,cuba,united states,1996
4390,gold,Athlete,ukraine,united states,1996
4391,silver,Athlete,poland,united states,1996
4392,bronze,Athlete,germany,united states,1996
4393,gold,Athlete,russian federation,united states,1996
4394,silver,Athlete,republic of korea,united states,1996
4395,bronze,Athlete,japan,united states,1996
4396,gold,Athlete,united states of america,united states,1996
4397,silver,Athlete,canada,united states,1996
4398,bronze,Athlete,democratic people's republic of korea,united states,1996
4399,gold,Athlete,islamic republic of iran,united states,1996
4400,silver,Athlete,russian federation,united states,1996
4401,bronze,Athlete,georgia,united states,1996
4402,gold,Athlete,kazakhstan,united states,1996
4403,silver,Athlete,united states of america,united states,1996
4404,bronze,Athlete,people's republic of china,united states,1996
4405,gold,Athlete,armenia,united states,1996
4406,silver,Athlete,united states of america,united states,1996
4407,bronze,Athlete,ukraine,united states,1996
4408,gold,Athlete,united states of america,united states,1996
4409,silver,Athlete,islamic republic of iran,united states,1996
4410,bronze,Athlete,germany,united states,1996
4411,gold,Athlete,united states of america,united states,1996
4412,silver,Athlete,republic of korea,united states,1996
4413,bronze,Athlete,ukraine,united states,1996
4414,gold,Athlete,russian federation,united states,1996
4415,silver,Athlete,united states of america,united states,1996
4416,bronze,Athlete,republic of moldova,united states,1996
4417,gold,Athlete,democratic people's republic of korea,united states,1996
4418,silver,Athlete,armenia,united states,1996
4419,bronze,Athlete,cuba,united states,1996
4420,gold,Athlete,russian federation,united states,1996
4421,silver,Athlete,republic of korea,united states,1996
4422,bronze,Athlete,islamic republic of iran,united states,1996
4423,gold,Athlete,turkey,united states,1996
4424,silver,Athlete,germany,united states,1996
4425,bronze,Athlete,belarus,united states,1996
4426,gold,Athlete,cuba,united states,1996
4427,silver,Athlete,finland,united states,1996
4428,bronze,Athlete,poland,united states,1996
4429,gold,Athlete,republic of korea,united states,1996
4430,silver,Athlete,belarus,united states,1996
4431,bronze,Athlete,russian federation,united states,1996
4432,gold,Athlete,poland,united states,1996
4433,silver,Athlete,belarus,united states,1996
4434,bronze,Athlete,sweden,united states,1996
4435,gold,Athlete,russian federation,united states,1996
4436,silver,Athlete,united states of america,united states,1996
4437,bronze,Athlete,ukraine,united states,1996
4438,gold,Athlete,poland,united states,1996
4439,silver,Athlete,cuba,united states,1996
4440,bronze,Athlete,turkey,united states,1996
4441,gold,Athlete,turkey,united states,1996
4442,silver,Athlete,belarus,united states,1996
4443,bronze,Athlete,united states of america,united states,1996
4444,gold,Athlete,bulgaria,united states,1996
4445,silver,Athlete,azerbaijan,united states,1996
4446,bronze,Athlete,kazakhstan,united states,1996
4447,gold,Athlete,poland,united states,1996
4448,silver,Athlete,france,united states,1996
4449,bronze,Athlete,russian federation,united states,1996
4450,gold,Athlete,norway,united states,1996
4451,silver,Athlete,italy,united states,1996
4452,bronze,Athlete,australia,united states,1996
4453,gold,Athlete,hungary,united states,1996
4454,silver,Athlete,canada,united states,1996
4455,bronze,Athlete,italy,united states,1996
4456,gold,Athlete,czech republic,united states,1996
4457,silver,Athlete,slovakia,united states,1996
4458,bronze,Athlete,hungary,united states,1996
4459,gold,Athlete,czech republic,united states,1996
4460,silver,Athlete,latvia,united states,1996
4461,bronze,Athlete,hungary,united states,1996
4462,gold,Athlete,italy,united states,1996
4463,silver,Athlete,norway,united states,1996
4464,bronze,Athlete,poland,united states,1996
4465,gold,Athlete,kazakhstan,united states,1996
4466,silver,Athlete,russian federation,united states,1996
4467,bronze,Athlete,hungary,united states,1996
4468,gold,Athlete,italy,united states,1996
4469,silver,Athlete,canada,united states,1996
4470,bronze,Athlete,united states of america,united states,1996
4471,gold,Athlete,netherlands,united states,1996
4472,silver,Athlete,switzerland,united states,1996
4473,bronze,Athlete,france,united states,1996
4474,gold,Athlete,united states of america,united states,1996
4475,silver,Athlete,sweden,united states,1996
4476,bronze,Athlete,republic of korea,united states,1996
4477,gold,Athlete,republic of korea,united states,1996
4478,silver,Athlete,people's republic of china,united states,1996
4479,bronze,Athlete,ukraine,united states,1996
4480,gold,Athlete,germany,united states,1996
4481,silver,Athlete,slovenia,united states,1996
4482,bronze,Athlete,germany,united states,1996
4483,gold,Athlete,slovakia,united states,1996
4484,silver,Athlete,czech republic,united states,1996
4485,bronze,Athlete,france,united states,1996
4486,gold,Athlete,czech republic,united states,1996
4487,silver,Athlete,united states of america,united states,1996
4488,bronze,Athlete,france,united states,1996
4489,gold,Athlete,italy,united states,1996
4490,silver,Athlete,canada,united states,1996
4491,bronze,Athlete,australia,united states,1996
4492,gold,Athlete,italy,united states,1996
4493,silver,Athlete,france,united states,1996
4494,bronze,Athlete,germany,united states,1996
4495,gold,Athlete,france,united states,1996
4496,silver,Athlete,australia,united states,1996
4497,bronze,Athlete,netherlands,united states,1996
4498,gold,Athlete,italy,united states,1996
4499,silver,Athlete,france,united states,1996
4500,bronze,Athlete,australia,united states,1996
4501,gold,Athlete,france,united states,1996
4502,silver,Athlete,netherlands,united states,1996
4503,bronze,Athlete,australia,united states,1996
4504,gold,Athlete,germany,united states,1996
4505,silver,Athlete,united states of america,united states,1996
4506,bronze,Athlete,canada,united states,1996
4507,gold,Athlete,france,united states,1996
4508,silver,Athlete,united states of america,united states,1996
4509,bronze,Athlete,japan,united states,1996
4510,gold,Athlete,france,united states,1996
4511,silver,Athlete,italy,united states,1996
4512,bronze,Athlete,canada,united states,1996
4513,gold,Athlete,switzerland,united states,1996
4514,silver,Athlete,denmark,united states,1996
4515,bronze,Athlete,great britain,united states,1996
4516,gold,Athlete,spain,united states,1996
4517,silver,Athlete,spain,united states,1996
4518,bronze,Athlete,great britain,united states,1996
4519,gold,Athlete,russian federation,united states,1996
4520,silver,Athlete,france,united states,1996
4521,bronze,Athlete,canada,united states,1996
4522,gold,Athlete,denmark,united states,1996
4523,silver,Athlete,people's republic of china,united states,1996
4524,bronze,Athlete,malaysia,united states,1996
4525,gold,Athlete,republic of korea,united states,1996
4526,silver,Athlete,indonesia,united states,1996
4527,bronze,Athlete,indonesia,united states,1996
4528,gold,Athlete,italy,united states,1996
4529,silver,Athlete,france,united states,1996
4530,bronze,Athlete,france,united states,1996
4531,gold,Athlete,russian federation,united states,1996
4532,silver,Athlete,cuba,united states,1996
4533,bronze,Athlete,hungary,united states,1996
4534,gold,Athlete,russian federation,united states,1996
4535,silver,Athlete,russian federation,united states,1996
4536,bronze,Athlete,france,united states,1996
4537,gold,Athlete,romania,united states,1996
4538,silver,Athlete,italy,united states,1996
4539,bronze,Athlete,italy,united states,1996
4540,gold,Athlete,france,united states,1996
4541,silver,Athlete,france,united states,1996
4542,bronze,Athlete,hungary,united states,1996
4543,gold,Athlete,switzerland,united states,1996
4544,silver,Athlete,canada,united states,1996
4545,bronze,Athlete,germany,united states,1996
4546,gold,Athlete,belarus,united states,1996
4547,silver,Athlete,canada,united states,1996
4548,bronze,Athlete,denmark,united states,1996
4549,gold,Athlete,brazil,united states,1996
4550,silver,Athlete,great britain,united states,1996
4551,bronze,Athlete,norway,united states,1996
4552,gold,Athlete,poland,united states,1996
4553,silver,Athlete,belgium,united states,1996
4554,bronze,Athlete,netherlands,united states,1996
4555,gold,Athlete,denmark,united states,1996
4556,silver,Athlete,netherlands,united states,1996
4557,bronze,Athlete,united states of america,united states,1996
4558,gold,Athlete,"hong kong, china",united states,1996
4559,silver,Athlete,new zealand,united states,1996
4560,bronze,Athlete,italy,united states,1996
4561,gold,Athlete,greece,united states,1996
4562,silver,Athlete,argentina,united states,1996
4563,bronze,Athlete,israel,united states,1996
4564,gold,Athlete,italy,united states,1996
4565,silver,Athlete,hungary,united states,1996
4566,silver,Athlete,romania,united states,1996
4567,gold,Athlete,switzerland,united states,1996
4568,silver,Athlete,romania,united states,1996
4569,bronze,Athlete,russian federation,united states,1996
4570,gold,Athlete,people's republic of china,united states,1996
4571,silver,Athlete,russian federation,united states,1996
4572,bronze,Athlete,belarus,united states,1996
4573,gold,Athlete,russian federation,united states,1996
4574,silver,Athlete,republic of korea,united states,1996
4575,bronze,Athlete,belarus,united states,1996
4576,gold,Athlete,russian federation,united states,1996
4577,silver,Athlete,people's republic of china,united states,1996
4578,silver,Athlete,united states of america,united states,1996
4579,gold,Athlete,ukraine,united states,1996
4580,silver,Athlete,united states of america,united states,1996
4581,bronze,Athlete,belarus,united states,1996
4582,gold,Athlete,romania,united states,1996
4583,silver,Athlete,people's republic of china,united states,1996
4584,bronze,Athlete,romania,united states,1996
4585,gold,Athlete,ukraine,united states,1996
4586,silver,Athlete,romania,united states,1996
4587,bronze,Athlete,united states of america,united states,1996
4588,gold,Athlete,ukraine,united states,1996
4589,silver,Athlete,romania,united states,1996
4590,bronze,Athlete,romania,united states,1996
4591,bronze,Athlete,romania,united states,1996
4592,gold,Athlete,united states of america,united states,1996
4593,silver,Athlete,ukraine,united states,1996
4594,bronze,Athlete,romania,united states,1996
4595,gold,Athlete,germany,united states,1996
4596,silver,Athlete,bulgaria,united states,1996
4597,bronze,Athlete,belarus,united states,1996
4598,bronze,Athlete,people's republic of china,united states,1996
4599,bronze,Athlete,russian federation,united states,1996
4600,gold,Athlete,greece,united states,1996
4601,silver,Athlete,people's republic of china,united states,1996
4602,bronze,Athlete,russian federation,united states,1996
4603,gold,Athlete,people's republic of china,united states,1996
4604,silver,Athlete,chinese taipei,united states,1996
4605,bronze,Athlete,people's republic of china,united states,1996
4606,gold,Athlete,people's republic of china,united states,1996
4607,silver,Athlete,people's republic of china,united states,1996
4608,bronze,Athlete,germany,united states,1996
4609,gold,Athlete,ukraine,united states,1996
4610,silver,Athlete,russian federation,united states,1996
4611,bronze,Athlete,romania,united states,1996
4612,gold,Athlete,greece,united states,1996
4613,silver,Athlete,kazakhstan,united states,1996
4614,bronze,Athlete,ukraine,united states,1996
4615,gold,Athlete,people's republic of china,united states,1996
4616,silver,Athlete,democratic people's republic of korea,united states,1996
4617,bronze,Athlete,hungary,united states,1996
4618,gold,Athlete,cuba,united states,1996
4619,silver,Athlete,bulgaria,united states,1996
4620,bronze,Athlete,democratic people's republic of korea,united states,1996
4621,gold,Athlete,turkey,united states,1996
4622,silver,Athlete,people's republic of china,united states,1996
4623,bronze,Athlete,bulgaria,united states,1996
4624,gold,Athlete,russian federation,united states,1996
4625,silver,Athlete,greece,united states,1996
4626,bronze,Athlete,germany,united states,1996
4627,gold,Athlete,turkey,united states,1996
4628,silver,Athlete,greece,united states,1996
4629,bronze,Athlete,people's republic of china,united states,1996
4630,gold,Athlete,russian federation,united states,1996
4631,silver,Athlete,germany,united states,1996
4632,bronze,Athlete,australia,united states,1996
4633,gold,Athlete,people's republic of china,united states,1996
4634,silver,Athlete,greece,united states,1996
4635,bronze,Athlete,bulgaria,united states,1996
4636,gold,Athlete,greece,united states,1996
4637,silver,Athlete,germany,united states,1996
4638,bronze,Athlete,poland,united states,1996
4639,gold,Athlete,france,united states,1996
4640,silver,Athlete,russian federation,united states,1996
4641,bronze,Athlete,germany,united states,1996
4642,gold,Athlete,russian federation,united states,1996
4643,silver,Athlete,italy,united states,1996
4644,bronze,Athlete,people's republic of china,united states,1996
4645,gold,Athlete,portugal,united states,1996
4646,silver,Athlete,people's republic of china,united states,1996
4647,bronze,Athlete,ethiopia,united states,1996
4648,gold,Athlete,germany,united states,1996
4649,silver,Athlete,russian federation,united states,1996
4650,bronze,Athlete,belarus,united states,1996
4651,gold,Athlete,czech republic,united states,1996
4652,silver,Athlete,great britain,united states,1996
4653,bronze,Athlete,finland,united states,1996
4654,gold,Athlete,united states of america,united states,1996
4655,silver,Athlete,germany,united states,1996
4656,bronze,Athlete,czech republic,united states,1996
4657,gold,Athlete,ethiopia,united states,1996
4658,silver,Athlete,kenya,united states,1996
4659,bronze,Athlete,morocco,united states,1996
4660,gold,Athlete,norway,united states,1996
4661,silver,Athlete,south africa,united states,1996
4662,bronze,Athlete,kenya,united states,1996
4663,gold,Athlete,algeria,united states,1996
4664,silver,Athlete,spain,united states,1996
4665,bronze,Athlete,kenya,united states,1996
4666,gold,Athlete,people's republic of china,united states,1996
4667,silver,Athlete,kenya,united states,1996
4668,bronze,Athlete,italy,united states,1996
4669,gold,Athlete,canada,united states,1996
4670,silver,Athlete,namibia,united states,1996
4671,bronze,Athlete,trinidad and tobago,united states,1996
4672,gold,Athlete,united states of america,united states,1996
4673,silver,Athlete,united states of america,united states,1996
4674,bronze,Athlete,germany,united states,1996
4675,gold,Athlete,united states of america,united states,1996
4676,silver,Athlete,zambia,united states,1996
4677,bronze,Athlete,united states of america,united states,1996
4678,gold,Athlete,russian federation,united states,1996
4679,silver,Athlete,romania,united states,1996
4680,bronze,Athlete,austria,united states,1996
4681,gold,Athlete,germany,united states,1996
4682,silver,Athlete,belarus,united states,1996
4683,bronze,Athlete,belarus,united states,1996
4684,gold,Athlete,jamaica,united states,1996
4685,silver,Athlete,united states of america,united states,1996
4686,bronze,Athlete,united states of america,united states,1996
4687,gold,Athlete,france,united states,1996
4688,silver,Athlete,jamaica,united states,1996
4689,bronze,Athlete,nigeria,united states,1996
4690,gold,Athlete,syrian arab republic,united states,1996
4691,silver,Athlete,belarus,united states,1996
4692,bronze,Athlete,great britain,united states,1996
4693,gold,Athlete,united states of america,united states,1996
4694,silver,Athlete,jamaica,united states,1996
4695,bronze,Athlete,united states of america,united states,1996
4696,gold,Athlete,sweden,united states,1996
4697,silver,Athlete,slovenia,united states,1996
4698,bronze,Athlete,france,united states,1996
4699,gold,Athlete,united states of america,united states,1996
4700,silver,Athlete,poland,united states,1996
4701,bronze,Athlete,great britain,united states,1996
4702,gold,Athlete,kenya,united states,1996
4703,silver,Athlete,kenya,united states,1996
4704,bronze,Athlete,italy,united states,1996
4705,gold,Athlete,russian federation,united states,1996
4706,silver,Athlete,cuba,united states,1996
4707,bronze,Athlete,mozambique,united states,1996
4708,gold,Athlete,united states of america,united states,1996
4709,silver,Athlete,great britain,united states,1996
4710,bronze,Athlete,cuba,united states,1996
4711,gold,Athlete,bulgaria,united states,1996
4712,silver,Athlete,greece,united states,1996
4713,bronze,Athlete,ukraine,united states,1996
4714,gold,Athlete,south africa,united states,1996
4715,silver,Athlete,republic of korea,united states,1996
4716,bronze,Athlete,kenya,united states,1996
4717,gold,Athlete,nigeria,united states,1996
4718,silver,Athlete,italy,united states,1996
4719,bronze,Athlete,united states of america,united states,1996
4720,gold,Athlete,ecuador,united states,1996
4721,silver,Athlete,russian federation,united states,1996
4722,bronze,Athlete,mexico,united states,1996
4723,gold,Athlete,ethiopia,united states,1996
4724,silver,Athlete,russian federation,united states,1996
4725,bronze,Athlete,japan,united states,1996
4726,gold,Athlete,germany,united states,1996
4727,silver,Athlete,people's republic of china,united states,1996
4728,bronze,Athlete,russian federation,united states,1996
4729,gold,Athlete,united states of america,united states,1996
4730,silver,Athlete,united states of america,united states,1996
4731,bronze,Athlete,ukraine,united states,1996
4732,gold,Athlete,united states of america,united states,1996
4733,silver,Athlete,great britain,united states,1996
4734,bronze,Athlete,uganda,united states,1996
4735,gold,Athlete,united states of america,united states,1996
4736,silver,Athlete,namibia,united states,1996
4737,bronze,Athlete,trinidad and tobago,united states,1996
4738,gold,Athlete,finland,united states,1996
4739,silver,Athlete,australia,united states,1996
4740,bronze,Athlete,norway,united states,1996
4741,gold,Athlete,hungary,united states,1996
4742,silver,Athlete,united states of america,united states,1996
4743,bronze,Athlete,ukraine,united states,1996
4744,gold,Athlete,united states of america,united states,1996
4745,silver,Athlete,jamaica,united states,1996
4746,bronze,Athlete,united states of america,united states,1996
4747,gold,Athlete,france,united states,1996
4748,silver,Athlete,australia,united states,1996
4749,bronze,Athlete,nigeria,united states,1996
4750,gold,Athlete,burundi,united states,1996
4751,silver,Athlete,kenya,united states,1996
4752,bronze,Athlete,morocco,united states,1996
4753,gold,Athlete,poland,united states,1996
4754,silver,Athlete,russian federation,united states,1996
4755,bronze,Athlete,spain,united states,1996
4756,gold,Athlete,ukraine,united states,1996
4757,silver,Athlete,russian federation,united states,1996
4758,bronze,Athlete,czech republic,united states,1996
4759,gold,Athlete,united states of america,united states,1996
4760,silver,Athlete,cuba,united states,1996
4761,bronze,Athlete,cuba,united states,1996
4762,gold,Athlete,ireland,united states,1996
4763,silver,Athlete,united states of america,united states,1996
4764,bronze,Athlete,hungary,united states,1996
4765,gold,Athlete,united states of america,united states,1996
4766,silver,Athlete,united states of america,united states,1996
4767,bronze,Athlete,italy,united states,1996
4768,gold,Athlete,new zealand,united states,1996
4769,silver,Athlete,brazil,united states,1996
4770,bronze,Athlete,australia,united states,1996
4771,gold,Athlete,united states of america,united states,1996
4772,silver,Athlete,united states of america,united states,1996
4773,bronze,Athlete,canada,united states,1996
4774,gold,Athlete,hungary,united states,1996
4775,silver,Athlete,finland,united states,1996
4776,bronze,Athlete,canada,united states,1996
4777,gold,Athlete,russian federation,united states,1996
4778,silver,Athlete,united states of america,united states,1996
4779,bronze,Athlete,brazil,united states,1996
4780,gold,Athlete,south africa,united states,1996
4781,silver,Athlete,united states of america,united states,1996
4782,bronze,Athlete,hungary,united states,1996
