,medal_type,participant_type,athlete_country,host_country,game_year
151,silver,Athlete,people's republic of china,japan,2020
152,gold,Athlete,people's republic of china,japan,2020
153,bronze,Athlete,japan,japan,2020
154,bronze,Athlete,germany,japan,2020
155,gold,Athlete,czech republic,japan,2020
156,silver,Athlete,slovakia,japan,2020
157,gold,Athlete,australia,japan,2020
158,bronze,Athlete,germany,japan,2020
159,silver,Athlete,great britain,japan,2020
160,gold,Athlete,germany,japan,2020
161,bronze,Athlete,australia,japan,2020
162,silver,Athlete,spain,japan,2020
163,bronze,Athlete,germany,japan,2020
164,silver,Athlete,czech republic,japan,2020
165,gold,Athlete,slovenia,japan,2020
166,silver,Athlete,netherlands,japan,2020
167,gold,Athlete,brazil,japan,2020
168,bronze,Athlete,australia,japan,2020
169,silver,Athlete,hungary,japan,2020
170,bronze,Athlete,italy,japan,2020
171,gold,Athlete,germany,japan,2020
172,silver,Athlete,people's republic of china,japan,2020
173,gold,Athlete,belarus,japan,2020
174,bronze,Athlete,new zealand,japan,2020
175,bronze,Athlete,great britain,japan,2020
176,gold,Athlete,people's republic of china,japan,2020
177,silver,Athlete,people's republic of china,japan,2020
178,gold,Athlete,uzbekistan,japan,2020
179,silver,Athlete,great britain,japan,2020
180,bronze,Athlete,turkey,japan,2020
181,bronze,Athlete,people's republic of china,japan,2020
182,bronze,Athlete,egypt,japan,2020
183,gold,Athlete,roc,japan,2020
184,silver,Athlete,jordan,japan,2020
185,bronze,Athlete,croatia,japan,2020
186,bronze,Athlete,republic of korea,japan,2020
187,gold,Athlete,roc,japan,2020
188,silver,Athlete,north macedonia,japan,2020
189,bronze,Athlete,cuba,japan,2020
190,gold,Athlete,serbia,japan,2020
191,silver,Athlete,republic of korea,japan,2020
192,bronze,Athlete,france,japan,2020
193,bronze,Athlete,great britain,japan,2020
194,gold,Athlete,croatia,japan,2020
195,silver,Athlete,great britain,japan,2020
196,bronze,Athlete,egypt,japan,2020
197,bronze,Athlete,côte d'ivoire,japan,2020
198,bronze,Athlete,chinese taipei,japan,2020
199,gold,Athlete,united states of america,japan,2020
200,silver,Athlete,roc,japan,2020
201,bronze,Athlete,turkey,japan,2020
202,bronze,Athlete,republic of korea,japan,2020
203,silver,Athlete,tunisia,japan,2020
204,bronze,Athlete,roc,japan,2020
205,gold,Athlete,italy,japan,2020
206,silver,Athlete,spain,japan,2020
207,gold,Athlete,thailand,japan,2020
208,bronze,Athlete,serbia,japan,2020
209,bronze,Athlete,israel,japan,2020
210,gold,Athlete,netherlands,japan,2020
211,silver,Athlete,netherlands,japan,2020
212,bronze,Athlete,great britain,japan,2020
213,silver,Athlete,malaysia,japan,2020
214,bronze,Athlete,netherlands,japan,2020
215,gold,Athlete,great britain,japan,2020
216,silver,Athlete,new zealand,japan,2020
217,gold,Athlete,netherlands,japan,2020
218,bronze,Athlete,canada,japan,2020
219,silver,Athlete,ukraine,japan,2020
220,bronze,Athlete,"hong kong, china",japan,2020
221,gold,Athlete,canada,japan,2020
222,gold,Athlete,great britain,japan,2020
223,bronze,Athlete,italy,japan,2020
224,silver,Athlete,new zealand,japan,2020
225,bronze,Athlete,netherlands,japan,2020
226,silver,Athlete,japan,japan,2020
227,gold,Athlete,united states of america,japan,2020
228,bronze,Athlete,roc,japan,2020
229,silver,Athlete,roc,japan,2020
230,gold,Athlete,united states of america,japan,2020
231,bronze,Athlete,estonia,japan,2020
232,silver,Athlete,romania,japan,2020
233,gold,Athlete,people's republic of china,japan,2020
234,silver,Athlete,italy,japan,2020
235,gold,Athlete,"hong kong, china",japan,2020
236,bronze,Athlete,czech republic,japan,2020
237,gold,Athlete,hungary,japan,2020
238,silver,Athlete,italy,japan,2020
239,bronze,Athlete,republic of korea,japan,2020
240,gold,Athlete,france,japan,2020
241,bronze,Athlete,ukraine,japan,2020
242,silver,Athlete,hungary,japan,2020
243,bronze,Athlete,france,japan,2020
244,silver,Athlete,roc,japan,2020
245,gold,Athlete,roc,japan,2020
246,gold,Athlete,denmark,japan,2020
247,silver,Athlete,people's republic of china,japan,2020
248,bronze,Athlete,indonesia,japan,2020
249,silver,Athlete,chinese taipei,japan,2020
