event,discipline,sub-discipline
sailing - 6m rating 1907 mixed,sailing,sailing
sailing - 10m rating 1907 mixed,sailing,sailing
sailing - men's windsurfing,sailing,sailing
sailing - women's windsurfing,sailing,sailing
sailing - men's dinghy,sailing,sailing
sailing - women's dinghy,sailing,sailing
sailing - women's kite,sailing,sailing
sailing - men's kite,sailing,sailing
sailing - men's skiff,sailing,sailing
sailing - women's skiff,sailing,sailing
sailing - mixed dinghy,sailing,sailing
sailing - mixed multihull,sailing,sailing
shooting - 50m rifle 3 positions women,shooting,shooting
shooting - 50m rifle 3 positions men,shooting,shooting
shooting - 25m rapid fire pistol men,shooting,shooting
shooting - 10m air rifle men,shooting,shooting
shooting - 10m air rifle women,shooting,shooting
shooting - trap men,shooting,shooting
shooting - skeet women,shooting,shooting
shooting - trap women,shooting,shooting
shooting - 10m air pistol women,shooting,shooting
shooting - 25m pistol women,shooting,shooting
shooting - 10m air pistol men,shooting,shooting
shooting - skeet men,shooting,shooting
shooting - 25m pistol (30+30 shots) women,shooting,shooting
shooting - 25m rapid fire pistol 60 shots men,shooting,shooting
shooting - 50m pistol 60 shots men,shooting,shooting
shooting - 50m rifle 3 positions 3x40 shots men,shooting,shooting
shooting - double trap 150 targets men,shooting,shooting
shooting - skeet (125 targets) men,shooting,shooting
shooting - 10m air pistol 60 shots men,shooting,shooting
shooting - 10m air rifle 60 shots men,shooting,shooting
shooting - trap 125 targets men,shooting,shooting
shooting - 50m rifle prone 60 shots men,shooting,shooting
shooting - 25m pistol 3030 shots women,shooting,shooting
shooting - 10m air pistol 40 shots women,shooting,shooting
shooting - 50m rifle 3 positions 3x20 shots women,shooting,shooting
shooting - 10m air rifle 40 shots women,shooting,shooting
shooting - trap 75 targets women,shooting,shooting
shooting - skeet 75 targets women,shooting,shooting
shooting - double trap 120 targets women,shooting,shooting
shooting - 10m running target 3030 shot men,shooting,shooting
shooting - 50m running target 3030 shot men,shooting,shooting
shooting - trap (125 targets) mixed,shooting,shooting
shooting - skeet (125 targets) mixed,shooting,shooting
shooting - 50m rifle prone 60 shots mixed,shooting,shooting
shooting - 50m running target 3030 shots mixed,shooting,shooting
shooting - 50m rifle 3 positions 3x40 shots mixed,shooting,shooting
shooting - 25m rapid fire pistol 60 shots mixed,shooting,shooting
shooting - 50m pistol 60 shots mixed,shooting,shooting
shooting - 300m free rifle 3 positions 3x40 shots mixed,shooting,shooting
shooting - 300m free rifle 3 positions 3 men,shooting,shooting
shooting - 100m running deer singledouble shots men,shooting,shooting
shooting - 300m free rifle 3 positions standing men,shooting,shooting
shooting - 600m free rifle individual men,shooting,shooting
shooting - 100m running deer double shots men,shooting,shooting
shooting - 100m running deer single shots men,shooting,shooting
shooting - army rifle 300m prone men,shooting,shooting
"shooting - clay pigeons, individual men",shooting,shooting
shooting - 600m free rifle prone men,shooting,shooting
shooting - army rifle 300m standing men,shooting,shooting
shooting - 50m small bore rifle standing individual men,shooting,shooting
shooting - trap mixed team,shooting,shooting
shooting - 10m air rifle mixed team,shooting,shooting
shooting - 10m air pistol mixed team,shooting,shooting
shooting - clay pigeons team men,shooting,shooting
shooting - 400 600 800m free rifle team men,shooting,shooting
shooting - 100m running deer single shots team men,shooting,shooting
shooting - 100m running deer double shots team men,shooting,shooting
shooting - free rifle team men,shooting,shooting
shooting - 50m small bore rifle team men,shooting,shooting
shooting - 300m free rifle prone team men,shooting,shooting
shooting - 30m army pistol team men,shooting,shooting
shooting - 300600m free rifle team prone men,shooting,shooting
shooting - 50m army pistol team men,shooting,shooting
shooting - 300m free rifle standing team men,shooting,shooting
shooting - 600m free rifle team men,shooting,shooting
shooting - skeet mixed team,shooting,shooting
skateboarding - women's street,skateboarding,skateboarding
skateboarding - men's park,skateboarding,skateboarding
skateboarding - women's park,skateboarding,skateboarding
skateboarding - men's street,skateboarding,skateboarding
sport climbing - men's combined,sport climbing,sport climbing
sport climbing - women's combined,sport climbing,sport climbing
sport climbing - women's speed,sport climbing,sport climbing
sport climbing - men's speed,sport climbing,sport climbing
sport climbing - men's boulder & lead,sport climbing,sport climbing
sport climbing - women's boulder & lead,sport climbing,sport climbing
surfing - women,surfing,surfing
surfing - men,surfing,surfing
marathon swimming - women's 10km,swimming,marathon swimming
marathon swimming - men's 10km,swimming,marathon swimming
marathon swimming - marathon - 10 km men,swimming,marathon swimming
marathon swimming - marathon - 10 km women,swimming,marathon swimming
marathon swimming - marathon 10km women,swimming,marathon swimming
artistic swimming - duet,swimming,artistic swimming
artistic swimming - team,swimming,artistic swimming
swimming - men's 400m individual medley,swimming,swimming
swimming - women's 800m freestyle,swimming,swimming
swimming - women's 100m breaststroke,swimming,swimming
swimming - men's 200m breaststroke,swimming,swimming
swimming - women's 50m freestyle,swimming,swimming
swimming - women's 200m butterfly,swimming,swimming
swimming - women's 200m backstroke,swimming,swimming
swimming - women's 1500m freestyle,swimming,swimming
swimming - men's 400m freestyle,swimming,swimming
swimming - men's 200m butterfly,swimming,swimming
swimming - women's 400m individual medley,swimming,swimming
swimming - men's 100m freestyle,swimming,swimming
swimming - women's 200m breaststroke,swimming,swimming
swimming - women's 100m backstroke,swimming,swimming
swimming - men's 50m freestyle,swimming,swimming
swimming - men's 200m freestyle,swimming,swimming
swimming - men's 100m backstroke,swimming,swimming
swimming - men's 100m breaststroke,swimming,swimming
swimming - women's 100m freestyle,swimming,swimming
swimming - men's 1500m freestyle,swimming,swimming
swimming - women's 200m freestyle,swimming,swimming
swimming - men's 800m freestyle,swimming,swimming
swimming - men's 100m butterfly,swimming,swimming
swimming - women's 100m butterfly,swimming,swimming
swimming - men's 200m backstroke,swimming,swimming
swimming - women's 400m freestyle,swimming,swimming
swimming - men's 200m individual medley,swimming,swimming
swimming - women's 200m individual medley,swimming,swimming
swimming - 100m backstroke women,swimming,swimming
swimming - 200m individual medley men,swimming,swimming
swimming - 200m breaststroke women,swimming,swimming
swimming - 100m breaststroke women,swimming,swimming
swimming - 400m individual medley women,swimming,swimming
swimming - 400m individual medley men,swimming,swimming
swimming - 100m breaststroke men,swimming,swimming
swimming - 400m freestyle women,swimming,swimming
swimming - 200m freestyle women,swimming,swimming
swimming - 200m butterfly men,swimming,swimming
swimming - 200m butterfly women,swimming,swimming
swimming - 200m backstroke women,swimming,swimming
swimming - 800m freestyle women,swimming,swimming
swimming - 100m butterfly women,swimming,swimming
swimming - 200m backstroke men,swimming,swimming
swimming - 50m freestyle men,swimming,swimming
swimming - 100m freestyle men,swimming,swimming
swimming - 200m individual medley women,swimming,swimming
swimming - 100m backstroke men,swimming,swimming
swimming - 100m butterfly men,swimming,swimming
swimming - 100m freestyle women,swimming,swimming
swimming - 200m breaststroke men,swimming,swimming
swimming - 200m freestyle men,swimming,swimming
swimming - 1500m freestyle men,swimming,swimming
swimming - 400m freestyle men,swimming,swimming
swimming - 50m freestyle women,swimming,swimming
swimming - 400m breaststroke men,swimming,swimming
swimming - 300m freestyle women,swimming,swimming
swimming - mixed 4 x 100m medley relay,swimming,swimming
swimming - men's 4 x 100m medley relay,swimming,swimming
swimming - men's 4 x 200m freestyle relay,swimming,swimming
swimming - women's 4 x 100m freestyle relay,swimming,swimming
swimming - men's 4 x 100m freestyle relay,swimming,swimming
swimming - women's 4 x 200m freestyle relay,swimming,swimming
swimming - women's 4 x 100m medley relay,swimming,swimming
swimming - 4x200m freestyle relay men,swimming,swimming
swimming - 4x100m medley relay women,swimming,swimming
swimming - 4x100m medley relay men,swimming,swimming
swimming - 4x200m freestyle relay women,swimming,swimming
swimming - 4x100m freestyle relay women,swimming,swimming
swimming - 4x100m freestyle men,swimming,swimming
swimming - 4x100m freestyle relay men,swimming,swimming
synchronized swimming - solo women,swimming,synchronized swimming
synchronized swimming - duet women,swimming,synchronized swimming
synchronized swimming - team women,swimming,synchronized swimming
table tennis - men's singles,table tennis,table tennis
table tennis - women's singles,table tennis,table tennis
table tennis - singles men,table tennis,table tennis
table tennis - singles women,table tennis,table tennis
table tennis - women's team,table tennis,table tennis
table tennis - mixed doubles,table tennis,table tennis
table tennis - men's team,table tennis,table tennis
table tennis - team men,table tennis,table tennis
table tennis - team women,table tennis,table tennis
table tennis - doubles women,table tennis,table tennis
table tennis - doubles men,table tennis,table tennis
taekwondo - men -68kg,taekwondo,taekwondo
taekwondo - men -80kg,taekwondo,taekwondo
taekwondo - men +80kg,taekwondo,taekwondo
taekwondo - women +67kg,taekwondo,taekwondo
taekwondo - women -67kg,taekwondo,taekwondo
taekwondo - women -57kg,taekwondo,taekwondo
taekwondo - men -58kg,taekwondo,taekwondo
taekwondo - women -49kg,taekwondo,taekwondo
taekwondo - + 80 kg men,taekwondo,taekwondo
taekwondo - 58 - 68 kg men,taekwondo,taekwondo
taekwondo - 68 - 80 kg men,taekwondo,taekwondo
taekwondo - - 58 kg men,taekwondo,taekwondo
taekwondo - - 49 kg women,taekwondo,taekwondo
taekwondo - 57 - 67 kg women,taekwondo,taekwondo
taekwondo - 49 - 57 kg women,taekwondo,taekwondo
taekwondo - + 67 kg women,taekwondo,taekwondo
taekwondo - 80 kg men,taekwondo,taekwondo
taekwondo - 58 kg men,taekwondo,taekwondo
taekwondo - 67 kg women,taekwondo,taekwondo
taekwondo - 49 kg women,taekwondo,taekwondo
taekwondo - beijing 2008 taekwondo - 49 kg women,taekwondo,taekwondo
taekwondo - beijing 2008 taekwondo - 58 kg men,taekwondo,taekwondo
taekwondo - athens 2004 taekwondo - 58 kg men,taekwondo,taekwondo
taekwondo - athens 2004 taekwondo - 49 kg women,taekwondo,taekwondo
tennis - men's singles,tennis,tennis
tennis - women's singles,tennis,tennis
tennis - singles women,tennis,tennis
tennis - singles men,tennis,tennis
tennis - mixed doubles,tennis,tennis
tennis - men's doubles,tennis,tennis
tennis - women's doubles,tennis,tennis
tennis - doubles men,tennis,tennis
tennis - doubles women,tennis,tennis
tennis - mixed doubles mixed,tennis,tennis
trampoline - individual men,trampoline,trampoline
trampoline - individual women,trampoline,trampoline
trampoline gymnastics - men,trampoline,trampoline gymnastics
trampoline gymnastics - women,trampoline,trampoline gymnastics
triathlon - women's individual,triathlon,triathlon
triathlon - men's individual,triathlon,triathlon
triathlon - individual men,triathlon,triathlon
triathlon - individual women,triathlon,triathlon
triathlon - mixed relay,triathlon,triathlon
tug of war - tug of war men,tug of war,tug of war
volleyball - men,volleyball,volleyball
volleyball - women,volleyball,volleyball
volleyball - volleyball women,volleyball,volleyball
volleyball - volleyball men,volleyball,volleyball
water polo - men,water polo,water polo
water polo - women,water polo,water polo
water polo - water polo men,water polo,water polo
water polo - water polo women,water polo,water polo
weightlifting - men's 61kg,weightlifting,weightlifting
weightlifting - women's 55kg,weightlifting,weightlifting
weightlifting - men's 67kg,weightlifting,weightlifting
weightlifting - men's 81kg,weightlifting,weightlifting
weightlifting - women's +87kg,weightlifting,weightlifting
weightlifting - women's 87kg,weightlifting,weightlifting
weightlifting - men's +109kg,weightlifting,weightlifting
weightlifting - women's 59kg,weightlifting,weightlifting
weightlifting - women's 64kg,weightlifting,weightlifting
weightlifting - men's 73kg,weightlifting,weightlifting
weightlifting - women's 49kg,weightlifting,weightlifting
weightlifting - men's 96kg,weightlifting,weightlifting
weightlifting - women's 76kg,weightlifting,weightlifting
weightlifting - men's 109kg,weightlifting,weightlifting
weightlifting - 75kg women,weightlifting,weightlifting
weightlifting - 63kg women,weightlifting,weightlifting
weightlifting - 105kg heavyweight men,weightlifting,weightlifting
weightlifting - -56kg (bantamweight) men,weightlifting,weightlifting
weightlifting - 53kg women,weightlifting,weightlifting
weightlifting - 85kg men,weightlifting,weightlifting
weightlifting - 62kg featherweight men,weightlifting,weightlifting
weightlifting - +105kg men,weightlifting,weightlifting
weightlifting - 94kg men,weightlifting,weightlifting
weightlifting - 69kg women,weightlifting,weightlifting
weightlifting - +75kg women,weightlifting,weightlifting
weightlifting - 69kg men,weightlifting,weightlifting
weightlifting - 58kg women,weightlifting,weightlifting
weightlifting - 77kg men,weightlifting,weightlifting
weightlifting - 48kg women,weightlifting,weightlifting
weightlifting - 105kg superheavyweight men,weightlifting,weightlifting
weightlifting - 56kg bantamweight men,weightlifting,weightlifting
weightlifting - 56kg men,weightlifting,weightlifting
weightlifting - 99  108kg heavyweight men,weightlifting,weightlifting
weightlifting - 91 - 99kg (first-heavyweight) men,weightlifting,weightlifting
weightlifting - 64  70kg lightweight men,weightlifting,weightlifting
weightlifting - 70  76kg middleweight men,weightlifting,weightlifting
weightlifting - 54kg flyweight men,weightlifting,weightlifting
weightlifting - 83 - 91kg middle-heavyweight men,weightlifting,weightlifting
weightlifting - 59  64kg featherweight men,weightlifting,weightlifting
weightlifting - 108kg super heavyweight men,weightlifting,weightlifting
weightlifting - 54  59kg bantamweight men,weightlifting,weightlifting
weightlifting - 76  83kg lightheavyweight men,weightlifting,weightlifting
weightlifting - 60-67.5kg lightweight men,weightlifting,weightlifting
weightlifting - 82.5 - 90kg (middle-heavyweight) men,weightlifting,weightlifting
weightlifting - 90  100kg firstheavyweight men,weightlifting,weightlifting
weightlifting - 52kg flyweight men,weightlifting,weightlifting
weightlifting - 75  825kg lightheavyweight men,weightlifting,weightlifting
weightlifting - 56 - 60kg (featherweight) men,weightlifting,weightlifting
weightlifting - 110kg super heavyweight men,weightlifting,weightlifting
weightlifting - 67.5-75kg middleweight men,weightlifting,weightlifting
weightlifting - 100  110kg heavyweight men,weightlifting,weightlifting
weightlifting - - 52kg (flyweight) men,weightlifting,weightlifting
weightlifting - 60 - 67.5kg (lightweight) men,weightlifting,weightlifting
weightlifting - 825  90kg middleheavyweight men,weightlifting,weightlifting
weightlifting - 90 - 100kg (first-heavyweight) men,weightlifting,weightlifting
"weightlifting - 67.5 - 75kg, (middleweight) men",weightlifting,weightlifting
weightlifting - 91  110kg heavyweight men,weightlifting,weightlifting
weightlifting - 75-82.5kg total lightheavyweight men,weightlifting,weightlifting
weightlifting - 52  56kg bantamweight men,weightlifting,weightlifting
weightlifting - 825  90kg total middleheavyweight men,weightlifting,weightlifting
weightlifting - 90kg heavyweight men,weightlifting,weightlifting
weightlifting - 82.5kg heavyweight men,weightlifting,weightlifting
weightlifting - 60kg featherweight men,weightlifting,weightlifting
weightlifting - 60  675kg onetwo hand 5 events lightweight men,weightlifting,weightlifting
weightlifting - 60kg onetwo hand 5 events featherweight men,weightlifting,weightlifting
weightlifting - 75  825kg onetwo hand 5 e lightheavyweight men,weightlifting,weightlifting
weightlifting - 825kg onetwo hand 5 events heavyweight men,weightlifting,weightlifting
weightlifting - 675  75kg onetwo hand 5 events middleweight men,weightlifting,weightlifting
weightlifting - 675  75kg onetwo hand 3 events middleweight men,weightlifting,weightlifting
weightlifting - 60kg onetwo hand 3 events featherweight men,weightlifting,weightlifting
weightlifting - 75  825kg onetwo hand 3 e lightheavyweight men,weightlifting,weightlifting
weightlifting - 825kg onetwo hand 3 events heavyweight men,weightlifting,weightlifting
weightlifting - 60  675kg onetwo hand 3 events lightweight men,weightlifting,weightlifting
weightlifting - men's 89kg,weightlifting,weightlifting
weightlifting - women's 71kg,weightlifting,weightlifting
weightlifting - men's +102kg,weightlifting,weightlifting
weightlifting - men's 102kg,weightlifting,weightlifting
weightlifting - women's 81kg,weightlifting,weightlifting
weightlifting - women's +81kg,weightlifting,weightlifting
wrestling - men's freestyle 57kg,wrestling,wrestling
wrestling - women's freestyle 53kg,wrestling,wrestling
wrestling - men's greco-roman 97kg,wrestling,wrestling
wrestling - men's freestyle 74kg,wrestling,wrestling
wrestling - men's freestyle 65kg,wrestling,wrestling
wrestling - men's freestyle 86kg,wrestling,wrestling
wrestling - men's greco-roman 77kg,wrestling,wrestling
wrestling - women's freestyle 68kg,wrestling,wrestling
wrestling - women's freestyle 50kg,wrestling,wrestling
wrestling - men's greco-roman 67kg,wrestling,wrestling
wrestling - women's freestyle 76kg,wrestling,wrestling
wrestling - men's greco-roman 130kg,wrestling,wrestling
wrestling - men's greco-roman 87kg,wrestling,wrestling
wrestling - men's greco-roman 60kg,wrestling,wrestling
wrestling - women's freestyle 57kg,wrestling,wrestling
wrestling - men's freestyle 125kg,wrestling,wrestling
wrestling - women's freestyle 62kg,wrestling,wrestling
wrestling - men's freestyle 97kg,wrestling,wrestling
wrestling - freestyle 48 kg women,wrestling,wrestling
wrestling - freestyle 69 kg women,wrestling,wrestling
wrestling - freestyle 86 kg men,wrestling,wrestling
wrestling - greco-roman 59 kg men,wrestling,wrestling
wrestling - freestyle 53 kg women,wrestling,wrestling
wrestling - greco-roman 85kg men,wrestling,wrestling
wrestling - greco-roman 130 kg men,wrestling,wrestling
wrestling - freestyle 75 kg women,wrestling,wrestling
wrestling - freestyle 65 kg men,wrestling,wrestling
wrestling - greco-roman 98 kg men,wrestling,wrestling
wrestling - freestyle 58 kg women,wrestling,wrestling
wrestling - freestyle 125 kg men,wrestling,wrestling
wrestling - freestyle 63 kg women,wrestling,wrestling
wrestling - greco-roman 75 kg men,wrestling,wrestling
wrestling - freestyle 57 kg men,wrestling,wrestling
wrestling - greco-roman 66 kg men,wrestling,wrestling
wrestling - freestyle 97 kg men,wrestling,wrestling
wrestling - freestyle 74 kg men,wrestling,wrestling
wrestling - greco-roman 84 kg men,wrestling,wrestling
wrestling - greco-roman 60 kg men,wrestling,wrestling
wrestling - freestyle 120kg men,wrestling,wrestling
wrestling - freestyle 66 kg men,wrestling,wrestling
wrestling - freestyle 55 kg men,wrestling,wrestling
wrestling - freestyle 72 kg women,wrestling,wrestling
wrestling - freestyle 84 kg men,wrestling,wrestling
wrestling - greco-roman 96 kg men,wrestling,wrestling
wrestling - greco-roman 74 kg men,wrestling,wrestling
wrestling - freestyle 55 kg women,wrestling,wrestling
wrestling - greco-roman 120 kg men,wrestling,wrestling
wrestling - freestyle 60 kg men,wrestling,wrestling
wrestling - greco-roman 55 kg men,wrestling,wrestling
wrestling - freestyle 96 kg men,wrestling,wrestling
"wrestling - featherweight, freestyle (≤55 kilograms) men",wrestling,wrestling
"wrestling - super-heavyweight, freestyle (≤120 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤63 kilograms) women",wrestling,wrestling
"wrestling - lightweight, freestyle (≤60 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, greco-roman (≤96 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤84 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤84 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤55 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤66 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤60 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤55 kilograms) women",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤74 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (≤72 kilograms) women",wrestling,wrestling
"wrestling - middleweight, freestyle (≤74 kilograms) men",wrestling,wrestling
"wrestling - flyweight, freestyle (≤48 kilograms) women",wrestling,wrestling
"wrestling - super-heavyweight, greco-roman (≤120 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤66 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (≤96 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, greco-roman (≤54 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤85 kilograms) men",wrestling,wrestling
"wrestling - super-heavyweight, freestyle (≤130 kilograms) men",wrestling,wrestling
"wrestling - super-heavyweight, greco-roman (≤130 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤85 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤63 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤76 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, freestyle (≤54 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤69 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤69 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤58 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (>97 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤63 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, greco-roman (>97 kilograms) men",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤76 kilograms) men",wrestling,wrestling
"wrestling - featherweight, freestyle (≤58 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤90 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤74 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, freestyle (≤57 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤90 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, greco-roman (≤57 kilograms) men",wrestling,wrestling
"wrestling - flyweight, greco-roman (≤52 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (≤100 kilograms) men",wrestling,wrestling
"wrestling - featherweight, freestyle (≤62 kilograms) men",wrestling,wrestling
"wrestling - light-flyweight, freestyle (≤48 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤82 kilograms) men",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤82 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤74 kilograms) men",wrestling,wrestling
"wrestling - light-flyweight, greco-roman (≤48 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, greco-roman (≤100 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤68 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤62 kilograms) men",wrestling,wrestling
"wrestling - flyweight, freestyle (≤52 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤68 kilograms) men",wrestling,wrestling
"wrestling - super-heavyweight, greco-roman (>100 kilograms) men",wrestling,wrestling
"wrestling - super-heavyweight, freestyle (>100 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤78 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤97 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤78 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤63 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤97 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤70 kilograms) men",wrestling,wrestling
"wrestling - featherweight, freestyle (≤63 kilograms) men",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤87 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤87 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤70 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤79 kilograms) men",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤79 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤87 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤73 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤73 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, greco-roman (>87 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤67 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤67 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (>87 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤87 kilograms) men",wrestling,wrestling
"wrestling - welterweight, greco-roman (≤72 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, freestyle (≤56 kilograms) men",wrestling,wrestling
"wrestling - welterweight, freestyle (≤72 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, greco-roman (≤56 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤66 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤66 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤61 kilograms) men",wrestling,wrestling
"wrestling - featherweight, freestyle (≤61 kilograms) men",wrestling,wrestling
"wrestling - featherweight, greco-roman (≤60 kilograms) men",wrestling,wrestling
"wrestling - bantamweight, greco-roman (≤58 kilograms) men",wrestling,wrestling
"wrestling - heavyweight, greco-roman (>82.5 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, greco-roman (≤82.5 kilograms) men",wrestling,wrestling
"wrestling - middleweight, greco-roman (≤75 kilograms) men",wrestling,wrestling
"wrestling - lightweight, greco-roman (≤67.5 kilograms) men",wrestling,wrestling
"wrestling - lightweight, freestyle (≤67.5 kilograms) men",wrestling,wrestling
"wrestling - featherweight, freestyle (≤60 kilograms) men",wrestling,wrestling
"wrestling - middleweight, freestyle (≤75 kilograms) men",wrestling,wrestling
"wrestling - light-heavyweight, freestyle (≤82½ kilograms) men",wrestling,wrestling
"wrestling - heavyweight, freestyle (>82.5 kilograms) men",wrestling,wrestling
